claim_id,company,ticker,call_date,fiscal_period,claim_type,speaker_name,verbatim_quote,summary,horizon_raw,horizon_end_date,verdict,grader,reasoning
TSLA_20200129_0d24c342,"Tesla, Inc.",TSLA,2020-01-29,Q4 2019,capital_allocation,Zachary Kirkhorn,"We also anticipate significant progress on factory construction of Shanghai- and Berlin-built Model Y, which will result in continued increases in capital spending.","Management expects significant progress on Shanghai and Berlin factory construction, resulting in continued increases in capital spending.",This year,2020-12-31,verified,autochecker,"The claim was directional: capital spending would continue to increase. Tesla's quarterly capital expenditures rose sequentially throughout the post-call horizon: $481.0M in 2020 Q1, $566.0M in Q2, $1,021.0M in Q3, and $1,164.0M in Q4. This is a consistent increase in the claimed direction."
TSLA_20201021_5707f87b,"Tesla, Inc.",TSLA,2020-10-21,Q3 2020,capital_allocation,Zachary Kirkhorn,"Looking forward to 2021 and 2022, we have revised up our expectations for capital spending by $2 billion to $2.5 billion",Management has raised its expected capital spending for 2021 and 2022 by $2 billion to $2.5 billion.,2021 and 2022,2021-12-31,not_yet_resolvable,autochecker,"The post-call Compustat data show Tesla's actual 2021 capital expenditures were $1.360B + $1.515B + $1.825B + $1.814B = $6.514B. However, the claim is specifically that management revised up expected capital spending for 2021 and 2022 by $2.0B-$2.5B, which is an increase versus a prior expectation and spans 2022 as well. The provided panel ends at 2021-12-31 and does not include 2022 capex or the prior forecast baseline needed to measure the revision amount. Therefore the claim cannot be resolved from these rows."
TSLA_20201021_ba25cbd6,"Tesla, Inc.",TSLA,2020-10-21,Q3 2020,capital_allocation,Zachary Kirkhorn,"we're currently expecting over $1 billion in early convert paydowns in Q4, primarily associated with the 2021 conversions, but also our 2022 and 2024.",Management expects over $1 billion in early convertible note paydowns in Q4.,Q4,2020-12-31,verified,autochecker,"Management expected over $1.0 billion of Q4 early convertible note paydowns. Compustat reports Q4 2020 long-term debt reduction (dltr_q) of $4,192 million, i.e. about $4.19 billion. This is above the claimed threshold of over $1 billion, so the realized debt paydown measure supports the claim."
TSLA_20210127_3ee6c625,"Tesla, Inc.",TSLA,2021-01-27,Q4 2020,capital_allocation,Zachary Kirkhorn,We currently have $1.4 billion that we expect to go out in Q1 as a result of early conversions or conversions on convertible debt.,Management expects $1.4 billion to go out in Q1 due to convertible debt conversions.,Q1,2021-03-31,contradicted,autochecker,"The relevant post-call Compustat measure for debt reduction in Q1 2021 is dltr_q = $4,145 million, or $4.145 billion. Management claimed $1.4 billion would go out in Q1 due to convertible debt conversions. The realised debt reduction is about $2.745 billion higher than claimed, roughly 196% above the stated magnitude, well outside a reasonable tolerance."
TSLA_20240124_0502b00e,"Tesla, Inc.",TSLA,2024-01-24,Q4 2023,capital_allocation,Vaibhav Taneja,we are currently expecting our capital expenditure for 2024 to be in excess of $10 million,Management expects Tesla's capital expenditure for 2024 to exceed $10 million.,2024,2024-12-31,verified,autochecker,"Tesla's realised 2024 capital expenditures were 2,777 + 2,272 + 3,513 + 2,780 = 11,342 million dollars for the full year. The claim was that 2024 capex would be in excess of $10 million. Since $11,342 million is well above $10 million, the claim is met."
TSLA_20250129_31a0631f,"Tesla, Inc.",TSLA,2025-01-29,Q4 2024,capital_allocation,Vaibhav Taneja,"And for 2025, we expect our CapEx to be flat on a year-over-year basis.",Management expects Tesla's CapEx to be flat year over year in 2025.,2025,2025-12-31,contradicted,autochecker,"Management claimed 2025 CapEx would be flat year over year. Realized 2025 CapEx was $8,527M, summing quarterly capx_q of $1,492M, $2,394M, $2,248M, and $2,393M. The 2024 baseline CapEx was $11,342M, so 2025 CapEx declined by $2,815M, or about 24.8% year over year. That is materially below flat and outside a reasonable tolerance."
TSLA_20250422_c6157ee0,"Tesla, Inc.",TSLA,2025-04-22,Q1 2025,capital_allocation,Vaibhav Taneja,"Our CapEx guidance inclusive of model tariffs, even with the optimization we have tried to do, it is forecasted to be still in excess of $10 billion this year.","Management forecasts capital expenditures to be more than $10 billion this year, including modeled tariffs.",this year,2025-12-31,contradicted,autochecker,"Management claimed 2025 capital expenditures would be in excess of $10 billion. The post-call quarters available within the 2025 horizon show capex of $2.394B, $2.248B, and $2.393B, totaling $7.035B for Q2-Q4 2025. Including the already-reported Q1 2025 capex of $1.492B gives full-year 2025 capex of $8.527B, which is $1.473B below the $10B threshold, or about 14.7% short. Therefore, the realized full-year capex did not exceed $10B."
TSLA_20251022_8c8824b0,"Tesla, Inc.",TSLA,2025-10-22,Q3 2025,capital_allocation,Vaibhav Taneja,we're projecting the numbers to increase substantially in 2026,Management projects Tesla's capital expenditures will increase substantially in 2026.,2026,2026-12-31,not_yet_resolvable,autochecker,"The claim concerns Tesla's capital expenditures increasing substantially in 2026, which requires observing the 2026 capex period through the stated horizon ending 2026-12-31. The post-call panel currently includes only Q1 2026 capex of $2,493M; Q2–Q4 2026 are not yet present. While Q1 2026 capex is above Q1 2025's $1,492M baseline, the full-year 2026 outcome cannot yet be computed or verified against the projection."
TSLA_20260128_4ebcfe85,"Tesla, Inc.",TSLA,2026-01-28,Q4 2025,capital_allocation,Vaibhav Taneja,"this year is going to be a huge investment year from a CapEx perspective. And at the moment, we are expecting that CapEx would be in excess of $20 billion.",Management expects CapEx to exceed $20 billion this year.,this year,2026-12-31,not_yet_resolvable,autochecker,"The claim is for full-year 2026 CapEx to exceed $20 billion. The post-call panel currently includes only 2026 Q1 CapEx of $2.493 billion. The full-year horizon through 2026-12-31 has not closed and Q2–Q4 2026 CapEx rows are not available, so the realised full-year CapEx cannot yet be computed or compared to the >$20 billion target."
TSLA_20260128_31fc0d3a,"Tesla, Inc.",TSLA,2026-01-28,Q4 2025,capital_allocation,Vaibhav Taneja,"There's about 6 factories, which we are starting production in this year. So there's a lot of cash CapEx, which is going into that.",Management says cash CapEx is going into about six factories starting production this year.,this year,2026-12-31,not_yet_resolvable,autochecker,"The only post-call Compustat evidence available is 2026 Q1 capital expenditures of $2,493M. The claim refers to cash CapEx going into about six factories starting production during the year ending 2026-12-31. That full-year horizon has not closed in the provided panel, and Compustat capx_q does not identify the number of factories or whether they started production. Therefore the realised full-year CapEx/factory-start outcome cannot yet be judged."
