claim_id,company,ticker,call_date,fiscal_period,claim_type,speaker_name,verbatim_quote,summary,horizon_raw,horizon_end_date,verdict,grader,reasoning
AMZN_20200130_b9a05d76,"Amazon.com, Inc.",AMZN,2020-01-30,Q4 2019,capital_allocation,Brian Olsavsky,we look ahead and see a step-up in that this year as we start to build more capacity for the 1-day,Management expects to build more capacity for one-day delivery this year.,this year,2020-12-31,verified,autochecker,"Management's directional claim was that capacity-building investment would step up in 2020. Realised post-call capital expenditures were $6.795B, $7.459B, $11.063B, and $14.823B across 2020 quarters, totaling $40.140B for the year. This was well above the 2019 baseline total of $16.861B, an increase of about 138%. The realised direction is clearly an increase, matching the claim."
AMZN_20200730_050629b4,"Amazon.com, Inc.",AMZN,2020-07-30,Q2 2020,numerical_guidance,Brian Olsavsky,You see our revenue range is $87 billion to $93 billion coming off of $89 billion quarter.,Management says its Q3 revenue range is $87 billion to $93 billion.,Q3,2020-09-30,verified,autochecker,"Management guided Q3 2020 revenue to $87B-$93B. Compustat reported Q3 2020 total revenue of $96,145M, i.e. $96.145B. This is above the top of the guided range by $3.145B, or about 3.4% relative to the $93B upper bound, which is within the ~10% tolerance for numerical guidance."
AMZN_20200730_3bc14b9c,"Amazon.com, Inc.",AMZN,2020-07-30,Q2 2020,numerical_guidance,Brian Olsavsky,"if you look at the growth rate, that translates into somewhere in the 24% to 33% growth rate in Q3.",Management says the Q3 growth rate implied by the revenue range is 24% to 33%.,Q3,2020-09-30,partially_verified,autochecker,"Q3 2020 realised revenue was $96,145M. Using the Q3 2019 baseline revenue of $69,982M, the realised year-over-year growth was (96,145 - 69,982) / 69,982 = 37.4%. Management’s claimed/implied Q3 growth range was 24% to 33%. The realised growth was positive and directionally consistent, but it exceeded the top of the range by about 4.4 percentage points, or roughly 13% relative to the 33% upper bound, which is outside the ~10% tolerance."
AMZN_20210429_bf855bd9,"Amazon.com, Inc.",AMZN,2021-04-29,Q1 2021,capital_allocation,Brian Olsavsky,we'll see a large investment in this area through 2021 as well,Management expects a large investment in last-mile and logistics-related capacity through 2021.,through 2021,2021-12-31,verified,autochecker,"Management's claim was directional rather than a precise numeric target: it expected continued large investment through 2021. Post-call capital expenditures were very large in each remaining 2021 quarter: $14.288B in Q2, $15.748B in Q3, and $18.935B in Q4, totaling $48.971B for Q2-Q4 2021. This was also up about 46.9% versus the comparable Q2-Q4 2020 capex total of $33.345B, supporting the claim of large continued investment through 2021."
AMZN_20210729_22c5dd71,"Amazon.com, Inc.",AMZN,2021-07-29,Q2 2021,capital_allocation,Brian Olsavsky,"And as usual, most of our 2021 spend in building openings are planned in the second half of this year.",Management plans most of its 2021 spending and building openings for the second half of the year.,the second half of this year,2021-12-31,partially_verified,autochecker,"Using capx_q as the available proxy for 2021 spending: post-call second-half capex was Q3 $15,748M + Q4 $18,935M = $34,683M. First-half 2021 capex from the pre-call baseline was Q1 $12,082M + Q2 $14,288M = $26,370M, so full-year capex was $61,053M and the second half represented about 56.8% of the year. That supports the claim that most 2021 spending occurred in the second half. However, Compustat does not provide a direct measure of “building openings,” so that part cannot be independently verified from the supplied fundamentals."
AMZN_20210729_2877575e,"Amazon.com, Inc.",AMZN,2021-07-29,Q2 2021,numerical_guidance,Brian Olsavsky,Our Q3 revenue guidance range of 10% to 16% growth reflects an expected continuation of this trend.,Management expects Q3 revenue growth to be in the range of 10% to 16%.,Q3,2021-09-30,verified,autochecker,"Realised Q3 revenue growth was (110812.0 - 96145.0) / 96145.0 = 15.3% year over year. Management guided to 10% to 16% growth for Q3, and the realised 15.3% falls within that range."
AMZN_20211028_bb5246ea,"Amazon.com, Inc.",AMZN,2021-10-28,Q3 2021,numerical_guidance,Brian Olsavsky,Q4's guidance also includes an estimated $1 billion year-over-year negative impact from lower fixed cost leverage in our fulfillment network.,Management expects an estimated $1 billion year-over-year negative impact in Q4 from lower fixed cost leverage in the fulfillment network.,Q4,2021-12-31,contradicted,autochecker,"Using operating income after depreciation (oiadpq) as the closest Compustat proxy, Q4 2021 oiadpq was $3,484M versus $6,377M in Q4 2020, a year-over-year decline of $2,893M. The claim cited an estimated $1,000M year-over-year negative impact. The realised decline in the proxy is negative in direction but about 2.9x the claimed magnitude, well outside a ~10% tolerance and more than 25% different. Note that Compustat does not isolate the specific fulfillment-network fixed-cost-leverage component, so this comparison is to total operating income impact."
AMZN_20220203_f93f6cb6,"Amazon.com, Inc.",AMZN,2022-02-03,Q4 2021,capital_allocation,Brian Olsavsky,"If I look to the future, we're still working through some of our plans for 2022, but it's coming into focus a bit. We see the CapEx for infrastructure going up.",Management expects infrastructure capital expenditures to increase in 2022.,2022,2022-12-31,verified,autochecker,"Using total capital expenditures as the available proxy for infrastructure CapEx, Amazon's 2022 post-call capx_q summed to $63,645M. The pre-call 2021 baseline summed to $61,053M, so realised 2022 CapEx increased by $2,592M, or about 4.2% year over year. The claim was directional—that infrastructure CapEx would go up in 2022—and the realised full-year CapEx direction was up."
AMZN_20220203_a9a33d7d,"Amazon.com, Inc.",AMZN,2022-02-03,Q4 2021,capital_allocation,Brian Olsavsky,we expect CapEx including equipment finance leases to increase year-over-year.,Management expects capital expenditures including equipment finance leases to increase year over year in 2022.,2022,2022-12-31,verified,autochecker,"Management claimed 2022 CapEx would increase year over year. Summing the post-call 2022 quarterly capx_q values gives $63,645M. The 2021 baseline quarters sum to $61,053M. Realized 2022 CapEx therefore increased by $2,592M, or about 4.2% year over year. Since the claim was directional and the realized sign is positive, the claim is verified using capx_q as the available proxy."
AMZN_20220428_696578bf,"Amazon.com, Inc.",AMZN,2022-04-28,Q1 2022,capital_allocation,Brian Olsavsky,We have lowered our operation's capital expenditures for 2022,Management has lowered operations capital expenditures for 2022.,2022,2022-12-31,verified,autochecker,"Using capx_q as the available proxy for operations capital expenditures, post-call 2022 capex was $15,724M in Q2, $16,378M in Q3, and $16,592M in Q4, totaling $48,694M for Q2-Q4 2022. The comparable pre-call baseline quarters in 2021 were $48,971M for Q2-Q4 2021. Thus realised post-call capex for the remaining 2022 quarters was lower by $277M, or about 0.6%, versus the same quarters of the prior year. The claim was directional, and the realised direction was lower."
