companyid,companyname,keydevid,transcriptid,headline,mostimportantdateutc,transcriptcomponentid,componentorder,transcriptcomponenttypename,transcriptpersonname,speaker_company,speakertypename,componenttext
27444752.0,"Tesla, Inc.",550668042.0,1382970.0,"Tesla, Inc., Q4 2017 Earnings Call, Feb 07, 2018",2018-02-07,55282263,0,Presentation Operator Message,Operator,,Operator,"Good day, ladies and gentlemen, and welcome to the Tesla Inc. Fourth Quarter 2017 Financial Results Q&A Conference Call. [Operator Instructions] I would now like to turn the call over to Senior Director of Investor Relations, Mr. Martin Viecha. Please go ahead, sir."
27444752.0,"Tesla, Inc.",550668042.0,1382970.0,"Tesla, Inc., Q4 2017 Earnings Call, Feb 07, 2018",2018-02-07,55282264,1,Presenter Speech,Martin Viecha,,Executives,"Thank you, Andrew, and good afternoon, everyone. Welcome to Tesla's Fourth Quarter 2017 Q&A Webcast. I'm joined today by Elon Musk, J.B. Straubel, Deepak Ahuja and Doug Field is on the line. 
Our 4Q results were announced at about 1 p.m. Pacific Time in the update letter we published at the same link as this webcast. During this call, we will discuss our business outlook and make forward-looking statements. These comments are based on our predictions and expectations as of today. Actual events or results could differ materially due to a number of risks and uncertainties, including those mentioned in our most recent filings with the SEC. [Operator Instructions] 
Before we jump to Q&A, Elon would like to have some opening remarks. Elon?"
27444752.0,"Tesla, Inc.",550668042.0,1382970.0,"Tesla, Inc., Q4 2017 Earnings Call, Feb 07, 2018",2018-02-07,55282265,2,Presenter Speech,Elon Musk,,Executives,"Right, thank you. So 2017 was also a big year for Tesla. We launched the Model 3, which was our first mass production vehicle, and it's a huge step change for Tesla. A lot of challenges but I think we made tremendous progress on that front.
We also designed and installed and managed operation the world's largest battery in Australia, this largest battery by a significant margin. And that battery is exceeding its performance targets significantly. Also unveiled the Tesla Semi, which is a super heavy-duty truck maximum load semitruck and the next-gen Roadster, which we believe will exceed gasoline sports cars on every dimension. 
And we also achieved record production and deliveries of Model S and X. And overall, I think, while there were challenges associated with Model 3 ramp at the -- deep, we were in a deeper level than we expected. So a few levels deeper than we'd like to be but swiftly exiting, I think. And so really, I think, on balance a phenomenal year. And I'd like to thank everyone at Tesla, who should be very proud of the work they've done. This is incredibly difficult. I'd like to thank everyone for their hard work and contribution to 2017 being a really good year for Tesla.
I also want to thank our suppliers, particularly those involved in Model 3, as they've shared the vertical struggle we've had in ramping our production, and they've really but not all spent weekends and taking lot of risks and sat alongside us in the challenges associated with the [indiscernible] so I'd like to thank them for supporting us through this difficult time with Model 3.
As well, our customers and Model 3 reservation holders, you're going to love your cars and we are working to get them to you as quickly as we possibly can. As for Model 3 production, we continue to make significant progress every day, and we are targeting a weekly production rate of 2,500 vehicles by the end of March and 5,000 by the end of Q2. 
And as [indiscernible] you've seen in the letter, the quarter-over-quarter production of Model 3 is rising exponentially. So I hope we'll -- people think that if we can send a Roadster to the asteroid belt, we could probably solve Model 3 production. It's just a matter of time. So -- and really the on the timing are really quite small in the grand scheme of things. 
So it's -- 2018 is likely a very big year for us. At some point in 2018, we expect to begin generating positive quarterly operating income on a sustained basis, operating 5,000 a week of Model 3 production. And I'm cautiously optimistic that we will be GAAP profitable. It's not certain but it's -- I'm cautiously optimistic that we will actually be GAAP profitable with no asterisk."
27444752.0,"Tesla, Inc.",550668042.0,1382970.0,"Tesla, Inc., Q4 2017 Earnings Call, Feb 07, 2018",2018-02-07,55282266,3,Presenter Speech,Martin Viecha,,Executives,"Thank you, Elon. Andrew, let's go to the first question."
27444752.0,"Tesla, Inc.",550668042.0,1382970.0,"Tesla, Inc., Q4 2017 Earnings Call, Feb 07, 2018",2018-02-07,55282267,4,Question and Answer Operator Message,Operator,,Operator,I'm showing we have a question from the line of Rod Lache with Deutsche Bank.
27444752.0,"Tesla, Inc.",550668042.0,1382970.0,"Tesla, Inc., Q4 2017 Earnings Call, Feb 07, 2018",2018-02-07,55282268,5,Question,Rod Lache,,Analysts,"Congratulations on the launch yesterday. Wanted to just ask a couple of questions. One is just we get a little bit more color from you on Model 3, what the production run rate is at the moment. Maybe if you can just provide us with a little bit more color on where the challenges are at this point? On the last call, you talked about, I think, 2 of the 4 zones at Gigafactory that were still kind of an issue in manual operation. Have those been resolved? And once you get to 2,500, is the ramp to 5,000, does that just nearly involve increasing line speeds?"
27444752.0,"Tesla, Inc.",550668042.0,1382970.0,"Tesla, Inc., Q4 2017 Earnings Call, Feb 07, 2018",2018-02-07,55282269,6,Answer,Elon Musk,,Executives,"Sure. I'll try to give pretty as much color as possible. I'm reminded of, I think you may have been [indiscernible] about sausage, if you like, sausage and respect the [indiscernible] being made. And it's that is true of a production ramp. So I wouldn't read too much into the day-to-day battles of this or that, but I'll give you a color but don't like -- don't read too much into it. So yes, there are 4 zones in -- model production is fundamentally the limiting factor on Model 3 output, which is ironic since battery modules really should be the thing we're best at. And I think in part, we were probably a little overconfident, a little complacent in thinking about this is something we know and understand and put a lot of tension on other things, not -- and just got too comfortable with our ability to do battery modules. We've been doing that since the start of the company. And of the 4 zones, 2 of them, which are subcontracted to -- the production systems were subcontracted to other companies didn't work it turns out. We promised they would work and it just didn't work. So we had to do what would normally be maybe an 18-month development cycle for our production system of that scale and complexity and tried to do that in basically 6 months. Maybe a little -- 6 to 9 months. And we've talked about on multiple levels so we have a design that is nearing completion for a new automated system for zone 1 and 2. That is being led by a growing team. It's an excellent design. All the other support they've done is has performed just to spec. And we expect a single Tesla line to be equivalent to 3, if not 4, of the current lines that we have and be smaller, which is kind of amazing. And then we have what we call a semiautomatic line, which is a series of small automated stations manned by people. And they've actually been remarkably effective. It's actually restoring my faith in humanity that the rapid evolution of progress and the ability of people to adapt rapidly has -- is quite remarkable. Our semiautomatic sort of semi-manual semiautomatic line is exceeding all 3 of the automatic lines right now. So -- and that's something that we're able to scale quite rapidly. I mean, J.B., is there additional color you'd like to add on that?"
27444752.0,"Tesla, Inc.",550668042.0,1382970.0,"Tesla, Inc., Q4 2017 Earnings Call, Feb 07, 2018",2018-02-07,55282270,7,Answer,Jeffrey Straubel,,Executives,"Sure, that's a great summary of it. I think much has been made about the manual production of modules. That's really not very accurate. These are, as Elon said, semi-auto lines where we have people moving materials perhaps between the machines that are actually performing operations. But there is still a degree of automation doing the operation."
27444752.0,"Tesla, Inc.",550668042.0,1382970.0,"Tesla, Inc., Q4 2017 Earnings Call, Feb 07, 2018",2018-02-07,55282271,8,Answer,Elon Musk,,Executives,It's not artisanal.
27444752.0,"Tesla, Inc.",550668042.0,1382970.0,"Tesla, Inc., Q4 2017 Earnings Call, Feb 07, 2018",2018-02-07,55282272,9,Answer,Jeffrey Straubel,,Executives,"Exactly. And this is what has been ramping quite effectively in the last -- in the first half -- the first part of this year. So we're continuing to expand that, the semi-auto lines, and that is effectively bridging the gap as we redesign the full automation and bring that online."
