companyid,companyname,keydevid,transcriptid,headline,mostimportantdateutc,transcriptcomponentid,componentorder,transcriptcomponenttypename,transcriptpersonname,speaker_company,speakertypename,componenttext
26642.0,The Coca-Cola Company,546938944.0,1394131.0,"The Coca-Cola Company, Q4 2017 Earnings Call, Feb 16, 2018",2018-02-16,55637894,0,Presentation Operator Message,Operator,,Operator,"[Audio Gap]
at www.coca-colacompany.com that support the prepared remarks by James and Kathy this morning. In addition, I would also like to note that we have posted schedules under the Financial Reports and Information tab in the Investors section of our company website. These schedules contain certain non-GAAP financial measures, which may be referred to by our senior executives during this morning's discussion to our results as reported under generally accepted accounting principles. Please look on our website for this information. 
Finally, during today's call, when our senior executives refer to comparable performance, they are referring to comparable performance from continuing operations. Following prepared remarks this morning, we will turn the call over for your questions. [Operator Instructions] 
Now let me turn the call over to James."
26642.0,The Coca-Cola Company,546938944.0,1394131.0,"The Coca-Cola Company, Q4 2017 Earnings Call, Feb 16, 2018",2018-02-16,55637895,1,Presenter Speech,James Quincey,,Executives,"Thanks, Jim, and good morning, everyone. In 2017, we completed another solid quarter of operating performance, capping off a successful year. 
The nonalcoholic beverage industry was a little soft during 2017, as the emerging and developing markets slowed slightly from prior year, but the developed will continue this growth strategy. We continued to gain global value share for both the quarter and the year. And importantly, we achieved or exceeded the guidance we shared with you at the beginning of 2017. 
Full year organic revenue grew 3%, with 4 out of 5 category clusters delivering top line growth, led by our sparkling soft drink portfolio. Underlying PBT grew 9% versus our goal of 7% to 8%, as we accelerated the capture of certain productivity savings. And we delivered comparable EPS of up $1.91, which was ahead of our plan. 
While we did what we said we'd do, it's still not as much as we aspired to. We need to be growing revenue and EPS at a faster rate. 
Now looking around the world. All of our operating segments delivered positive organic revenue growth. We saw solid growth in our developed markets, particularly in Europe and North America, driven by improving execution in recently refranchised territories and enhanced pricing and packaging strategies, as China business built momentum in 2017, even as we refranchised our bottling system. 
Other emerging markets were more challenging, especially in the first half of the year, but we saw improvement in key markets like India, Argentina and Brazil as we moved into the second half. We accomplished this growth while driving significant change in our company as we accelerated our transformation into a total beverage company with a broad, consumer-centric brand portfolio and an asset-light business model.
First, we implemented a new operating model designed to enable performance-driven growth culture that we will believe will result in greater returns for our shareholders; a lean model where employees are focused, empowered, quick to take action and willing to take smart risks. To accomplish this, we made significant changes to our leadership team, corporate structure and updated both our incentive metrics and compensation philosophy. 
Second, implemented new digital platforms to support our leaner operating environment and improve the employee experience. This lays the groundwork for initiatives like SAP implementation that will take place this year. 
Third, we expanded our consumer-centric product portfolio, scaling wins from mark-to-market leveraging our M&A and embracing more of an experimental [indiscernible] learn approach to marketing new products. For example, we entered the fast-growing U.S. ready-to-drink coffee category, capturing over 7 points of value share by the end of the year. We lifted and shifted 2 of our leading U.S. brands, Honest and smartwater, into multiple international markets and acquired AdeS, the leading plant-based beverage brand in Latin America with the intension of expanding it into Europe in the near future. 
More importantly, we launched Coca-Cola Zero Sugar in 20 markets, with a clear 4-point playbook of a great-tasting reformulated product, evolved marketing, new packaging and upgraded execution.
We saw very positive results with the brand growing revenue double digits, including a meaningful acceleration in Coca-Cola Zero Sugar strength in the U.S. since its launch in Q3. 
Of course, it's not about -- just about large brands. We balance rolling out large-scale brands and keeping entrepreneurial focus on emerging consumer trend and identifying products that meet those trends. This is about developing brands, channels and points of engagements with our consumers. For example, we adjusted our pack price offering to adapt to the explosion of online ordering in China. And we're leveraging a decade of learnings from North America's Venturing & Emerging Brands model to approach opportunities in international markets. As I mentioned last quarter, we launched the unit in Central & Eastern Europe to test premium brands in high-value outlets and channels through a separate route-to-market. And of course, while it's still early days, the unit has met our expectations, and we are moving quickly to expand coverage to another 7 cities in Europe.
Fourth, we focus on converting portfolio expansion into stronger revenue growth. This can clearly be seen in our EMEA operating segment, where organic revenue growth accelerated from a 3% run rate over the past few years to a strong 5% in 2017. We accomplished this in part due to the revenue growth management initiatives that focuses on small baskets and pack sizes. These initiatives will phase into several EMEA markets over the year, and we will continue to roll them out in additional markets in 2018 and so expect to see continued momentum this year. 
And finally, we reenergized our system for future growth. Over the last few years, as you well know, we have been returning ownership of our company-owned bottling operations to independent companies around the world. In 2017, we accomplished major milestones in 3 of our most important markets. We sold our bottling businesses in China, creating 2 strong bottlers with continuous -- contiguous territories. Our 2 largest bottlers in Japan merged creating a single bottler, covering roughly 85% of our system in an important profit pool. And most importantly, we completed refranchising of our U.S. bottling operations. At the same time, our North American business continued to deliver top-tier FMCG performance with 3% organic revenue growth.
Ultimately, all of these strategic and tactical changes mean something very important. We are assertively shifting our culture, the way we operate, the way we look at growth opportunities and the way we engage with our bottling system. 
It's been a lot of change, and much of it is only just starting to show tangible results, which is a good thing when you think about future performance. Looking ahead, 2018 is shaping up to be stronger than 2017. We are well positioned to accelerate our top line performance based on the actions we've taken, the impact of new U.S. tax legislation on consumer spending and the improvements in the global economy. 
While the economic environment in key emerging markets like Brazil and Argentina may not yet have tipped into a tailwind scenario, they are also not causing the same level of headwinds they did last year for our industry. 
With that as a backdrop, we feel confident that the revenue growth initiatives we've launched in multiple markets, coupled with the strong rollout of brands like Coca-Cola Zero Sugar, Honest Tea, AdeS, [indiscernible] beverages and smartwater will enable us to deliver 4% organic revenue growth.
We will balance productivity with reinvestment to deliver significant underlying operating margin expansion for the year. And our refranchising efforts largely complete in a benign currency environment, we expect to grow comparable EPS 8% to 10%.
Now, of course, many of you have asked us how U.S. tax reform will impact our business. Overall, we view this as encouraging for the operating environment. Clearly, tax reform will make investing in the U.S. more attractive and should spur economic growth. We are currently evaluating it and expect our system to accelerate investments to capture further opportunities. 
The tax reform also eliminates a long-standing distortion due to the former U.S. worldwide tax system, which will make it easier for our company to manage its cash and debt balances. However, in the short term, there are puts and takes to the financial benefit. Over the next 8 years, the lower effective tax rate will mostly be offset by the annual payment on the tax charge we took during the fourth quarter. 
Now while we are focused on delivering this year's plan, we must also keep an eye on the long-term health of our business. In order to have a healthy business, you need to operate in a healthy community. One of today's biggest problems is packaging waste. And over the decades, Coca-Cola has done a lot of work on recycling. We've made most of our packaging fully recyclable, and we've invested a lot in R&D around reusing plastic. And now we're doing more. Our system is fundamentally reshaping our approach to packaging with a goal to collect and recycle the equivalent of 100% of all of the bottles and cans we sell by 2030. We're also increasing the amount of recycled content in our packaging, and we's are working to make all of our packaging finally 100% recyclable.
In a world where packaging waste, especially plastic waste, is a growing problem, we are working to make sure that no bottle is ever a single-use model. Through recycling, it'll have more than one life. This is the next step in our ongoing sustainability efforts, building off our success in replenishing 100% of the water we use in making our beverages. We must grow with conscience and, therefore, becoming a total beverage company that grows the right way because it is the correct thing to do for the consumers and our business. 
So finally, to recap, we had a successful year. We implemented a culture shift, which is ongoing. We made large-scale changes to strengthen our bottling system, met or exceeded our financial guidance and delivered top-tier FMCG organic revenue growth. And we are encouraged that 2018 will be even stronger. 
With that, I'm going to hand over to Cathy."
26642.0,The Coca-Cola Company,546938944.0,1394131.0,"The Coca-Cola Company, Q4 2017 Earnings Call, Feb 16, 2018",2018-02-16,55637896,2,Presenter Speech,Kathy Waller,,Executives,"Thanks, and good morning, everyone. As James said, 2017 was a good year, as we met or exceeded our financial guidance during significant change at the company. Our press release covers our fourth quarter results in detail, so I will focus on the implications from the U.S. tax reform to accounting changes that will affect our operating margins and our 2018 guidance. 
Starting with the U.S. Tax Cuts and Jobs Act. While I won't touch on every element, I think there are 3 important factors to review: the impacts of our underlying effective tax rate, the tax liability on our foreign accumulated earnings and capital structure implication. 
First, based on our expected earnings split between U.S. and international locations, we estimate this will lower our global effective tax rate to approximately 21% in 2018 compared to our 24% rate in 2017 and our previously expected 2018 tax rate of 26%. However, we expect increased variability from quarter-to-quarter, as future interpretations of the law and updates to the related accounting guidance could have an impact on our effective tax rate for 2018 and beyond. Therefore, the 21% effective tax rate estimate is just that, an estimate, and will be subject to change. As we go through the year, we'll update you on any potential changes. 
Second, in the fourth quarter, we recorded a onetime noncash charge of $3.6 billion associated with the enactment. The charge encompasses several elements, including a onetime $4.6 billion tax on accumulated foreign earnings and primarily offsetting net deferred tax benefit of $1 billion. Despite being recorded in the fourth quarter, the onetime tax will be paid over an 8-year period, as stipulated by the act. So the cash flow impacts from the $4.6 billion charge will follow in future periods but will be more than offset by the accumulated cash benefit from the lower ongoing tax rate after a 6- to 7-year payback period. 
While the cumulative impact of the benefit of free cash flow, the tax payment impacts the company's free cash flow conversion target over the next 8 years. 
At our Investor Day last November, we introduced a free cash flow conversion target of 95% to 100% of GAAP net income, adjusted to exclude noncash items impacting comparability. While the lower effective tax rate will benefit both earnings and cash flow by the same amount, the tax on historical foreign earnings will only impact our free cash flow. So this has the mathematical effect of lowering our free cash flow conversion. 
Since the impact of tax reform was not anticipated when we provided the guidance during our Investor Day, we are now adjusting our target to 90% to 95% during this 8-year period of tax payments. 
Turning to implications on our capital structure and cash repatriation. Now that the U.S. has moved to a modified territorial regime, it will make it easier to manage our cash and debt. As a result, we are providing a few updates to our capital structure.
First, we have a target of 2 to 2.5x net debt leverage, as we believe this provides the right balance between reaching the optimal capital structure and preserving financial flexibility as we move forward on strategic initiatives. We currently operate at 3.9x growth debt leverage and 2.2x net debt leverage, with a credit rating of AA- from S&P and AA3 from Moody's. Since we are already operating within our target net leverage range, we intend to use approximately $7 billion of our cash held overseas to repay gross debt. This will allow us to reduce the spread between our gross and net debt levels, support our credit rating and continue to access the commercial paper market and reduce our net interest expense. The remaining cash will continue to be invested overseas, as a significant portion of it is nonremittable because of local regulations or is required through -- for working capital purposes. Another portion is required to support our commercial paper program, and then some of the cash is earning a good return in certain overseas markets. 
And finally, our cash priorities remain the same. We will continue to reinvest in the business, grow the dividend, fund acquisitions and use any remaining cash for net share repurchases. As we move forward, we will periodically reevaluate and balance our opportunities with our cash flow needs. At times, and as appropriate, if we have excess cash, we could use that cash to buy back shares above our previously stated goal of offsetting any equity dilution. 
Moving on to changes in accounting standards. The FASB, which is the Financial Accounting Standards Board, issued an accounting standards update on revenue from customer contracts. Based on classifications provided by this new guidance, we will now be required to account for a small number of contracts differently in the future. While there are various considerations, the primary impact will be that certain revenue and costs in contracts that were previously netted together in revenue will now be grossed up into the revenue and cost of goods sold component going forward. Further, as this change is prospective, meaning there is no restatement of prior results, this will result in an estimated increase in net revenue growth of 1% to 2% and an increase of 3% to 5% in cost of goods sold in 2018. Importantly, there is no material impact to our consolidated profit or EPS as a result. However, the math of this accounting change does result in operating margin compression. This change impacts the operating segments in different ways, and it causes a timing difference, which impacts the quarter. Supplementary materials will -- with additionally details on the impact to our operating segment and our quarter are filed on our website, and our Investor Relations team to cover any additional questions with you. 
The FASB also issued an accounting standard update on pensions and postretirement benefit costs, which requires companies to split out net pension expense, keeping the service costs and SG&A and moving the ever components of pension expense to other income. As this is simply a reclass on the P&L, there is no impact to profit before tax or EPS. However, there is an impact to operating margins. 
Taking these 2 accounting changes together, we expect approximately 150 basis points of operating margin compression going forward. 
Turning to full year 2018 expected performance. We expect organic revenue growth to accelerate to 4%. We expect comparable EPS to grow 8% to 10%, with the majority of earnings growth coming from the second half of the year. And we expect cash from operations of at least $8.5 billion. This represents over a 20% rebound as [indiscernible] certain cash costs associate with refranchising activities and with the restructuring of the organization in 2017. 
We will continue to follow our capital allocation priorities, starting with an expected $1.9 billion in capital investment. This is higher than our long-term expected spend due to investments we are making in 2018 to enhance digital capabilities. And we will return our free cash flow to share owners through dividends of approximately $6.7 billion and approximately $1 billion in net share repurchases.
As announced yesterday, our board increased the dividend for the 56th year in a row to an annual equivalent of $1.56 per share, up 5% from $1.48. 
Now let me touch on key considerations and assumptions embedded in our outlook. We expect continued portfolio lift and shift initiatives such as Coca-Cola Zero Sugar and Fuze Tea, strong marketplace execution like we see in EMEA and a slightly improving macro outlook to result in stronger top line growth. Along with an improvement in emerging markets, we see commodity prices rising. However, continued solid pricing and a focus on expense management will more than offset higher raw material costs. As such, we expect to deliver 8% to 9% underlying operating income growth. 
As mentioned previously, the accounting change for customer contracts will result in a 1- to 2-point tailwind to net revenue and a 3% to 5% increase to cost of goods sold, with a minimal effect on operating income. 
The pension accounting change will require restatement to our 2017 results, and given the amount of the reclass, we do not expect it to impact our 2018 guidance on operating income. 
Turning to structural items. We will continue to see a structural headwind in 2018, primarily due to the timing of when certain bottling operations were sold last year and the planned refranchising of bottling territories in Canada this year. Therefore, for 2018, we expect a 17% headwind to revenue and a 2% headwind to operating income from structural items. This will result, however, in an approximate 500 basis point benefit to comparable operating margins on top of solid underlying margin expansion in the core business. 
We expect currency to be a 0% to 1% headwind to operating income, as improving spot rates will be offset as we cycle hedging gains from 2017. 
Below the line, we expect modest deleverage. While we plan to repatriate approximately $7 billion of overseas cash to pay down debt, higher interest rates will result in an increase to net interest expense. These factors, along with our updated 21% effective tax rate, will lead to expect the growth in comparable EPS of 8% to 10% in 2018. 
As we model the flow of the year, there are a few items to consider in terms of phasing for the year. We expect earnings growth to be back half weighted, primarily due to the timing of expenses and productivity initiatives. 
Moving specifically to the first quarter. The first quarter will have 1 less day than the prior year first quarter. We expect a 6-point headwind from structural items and a 1-point tailwind from currencies on operating income. And we expect the change in revenue recognition to be a 1-point tailwind to revenue and a neutral impact to operating income in the first quarter. 
Now realize that was a lot to cover. And as always, our Investor Relations team will be happy to walk through each of these elements in more detail as you build out your models over the year.
We delivered -- so in summary, we delivered against our guidance in 2017 during tremendous change in the organization and our broader system. We believe we are well positioned as we enter into 2018 and expect accelerated performance. 
And then, finally, abating headwinds from currency, macros and structural impacts, along with an improving tax outlook, will allow a significant acceleration in our comparable EPS versus the past several years. 
Operator, we are now ready for questions."
26642.0,The Coca-Cola Company,546938944.0,1394131.0,"The Coca-Cola Company, Q4 2017 Earnings Call, Feb 16, 2018",2018-02-16,55637897,3,Question and Answer Operator Message,Operator,,Operator,"[Operator Instructions] 
Our first question is from Mr. Steve Powers with Deutsche Bank."
26642.0,The Coca-Cola Company,546938944.0,1394131.0,"The Coca-Cola Company, Q4 2017 Earnings Call, Feb 16, 2018",2018-02-16,55637898,4,Question,Stephen Robert Powers,,Analysts,"So James and Kathy, you both touched upon this in your prepared remarks, and I'm sure you'll speak to it in more detail next week as well. But could you just, perhaps, expand a bit further on what makes you confident in the 4% organic growth guide for next year? It's clearly a solid number. It benchmarks really well against the what we heard from peers, and the momentum that you have coming out of the fourth quarter helps, I think, put it in  perspective. But what are the relative tailwinds that your system may have that other companies may lack right now? Because I think there's probably a bit of skepticism, maybe some concern out there today that 4% growth may be just be too aspirational, just given what we've heard from others this season. So I guess, the question is really why is 4% the right call for Coke when the rest of global CPG seems anchored to more like 2% or 3% growth right now?"
26642.0,The Coca-Cola Company,546938944.0,1394131.0,"The Coca-Cola Company, Q4 2017 Earnings Call, Feb 16, 2018",2018-02-16,55637899,5,Answer,James Quincey,,Executives,"Thanks. So a couple of thoughts that, I think, can underpin our expectations around the 4%. I mean, firstly, look back to 2017, clearly, we were making sequential improvement as we went through 2017, as we were finishing the refranchising, as we were building out the greater portfolio plans, we were, as you said, the fourth quarter was good and so was the third quarter in 2017. So I think the first point is we were seeing some sequential improvement, so we were coming out of '17 into '18 with a better run rate. Secondly, we talked on the Investor Day that what we needed to do to get back into our revenue growth rate range for our long-term model, there were a number of things we need to do on the portfolio, on some of the clusters, on some of the revenue growth management strategies and also, to some extent, an improvement in the macro environment in the emerging and developing markets. So there were things that we had to do, and there were some of the environment that would get us well into our range of in the 4% to 6%. So I think what you're seeing is a good -- another good step forward in 2018, although executing -- what we need to execute, particularly the portfolio expansion and some of the RTM work, and you could see that some of that coming through in the fourth quarter. So I think the actions are in place. The results are starting to come. The momentum is building. We're not out of the woods in 2018. The world still remains uncertain and volatile. But I think the momentums in the business and that momentums in the actions that we laid out that needed to be taken, plus a little bit of an improvement in the emerging macros, makes us confident that 4% is a good number for 2018."
26642.0,The Coca-Cola Company,546938944.0,1394131.0,"The Coca-Cola Company, Q4 2017 Earnings Call, Feb 16, 2018",2018-02-16,55637900,6,Question and Answer Operator Message,Operator,,Operator,Our next question is from Lauren Lieberman with Barclays.
26642.0,The Coca-Cola Company,546938944.0,1394131.0,"The Coca-Cola Company, Q4 2017 Earnings Call, Feb 16, 2018",2018-02-16,55637901,7,Question,Lauren Lieberman,,Analysts,"Wanted a little bit EMEA. So really solid price/mix, obviously, so revenue growth management showing through would seem both developing markets. And yet, you had margins down pretty considerably. So can you just talk a little bit about what went on there that quarter? How we should think about that looking forward?"
26642.0,The Coca-Cola Company,546938944.0,1394131.0,"The Coca-Cola Company, Q4 2017 Earnings Call, Feb 16, 2018",2018-02-16,55637902,8,Answer,James Quincey,,Executives,"Sure. Firstly, on EMEA. I mean, there's a couple of things. Clearly, we were executing against our plan to expand the portfolio, and I think they've got good growth and good launches, particularly coming into 2018, preparing the ground for the Fuze Tea launch and the added plant-based drinks launch. So I think there's a lot going on, on the portfolio in EMEA, which is very encouraging. They have been executing a lot of revenue growth management approaches, some smart packaging, some different choices on pack sizes and transact -- driving transactions. I think you have seen that come through in the results of both Coke Hellenic and Coca-Cola European Partners in the last few days. So there's a lot of good work going on in revenue growth management, and we're -- a bit back to the previous answer, we see that carrying through into 2018. We did have some places that weren't perfect. We had problems in Egypt, then in South Africa, more to do with the macro environment in Egypt, the disruption of the supply chain. So my point of reference there is when we lose volume in some of the emerging markets, it kind of has a mechanical benefit on the price/mix. And I think the last thing I would say, so actually, really strong start in EMEA, also ends with EMEA in 2017. And the other thing that's driving the margin is the Innocent business continues to perform really well in Europe. And given that, that's finished products business, it appears to reduce the -- it appears to create the margin compression, but it also drives top line and good results."
26642.0,The Coca-Cola Company,546938944.0,1394131.0,"The Coca-Cola Company, Q4 2017 Earnings Call, Feb 16, 2018",2018-02-16,55637903,9,Question and Answer Operator Message,Operator,,Operator,Our next question is from Bill Chappell with SunTrust.
