claim_id,ticker,call_date,horizon_end_date,claim_type,is_compustat_relevant,assertion_kind,candidate_fields,skipped_reason,verdict,n_citations,model,mode
AMZN_20200130_6ab0e687,AMZN,2020-01-30,2025-12-31,numerical_guidance,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20200130_1646d0b7,AMZN,2020-01-30,2025-12-31,numerical_guidance,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20200130_74d78a2a,AMZN,2020-01-30,2025-12-31,numerical_guidance,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20200130_fcdbc66e,AMZN,2020-01-30,2020-03-31,numerical_guidance,True,magnitude,cogsq,,verified,2,gpt-4o-mini,verdict
AMZN_20200130_c4c22a04,AMZN,2020-01-30,2020-12-31,capital_allocation,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20200130_9cd6cd46,AMZN,2020-01-30,2020-12-31,numerical_guidance,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20200130_f4319c00,AMZN,2020-01-30,2020-03-31,numerical_guidance,True,magnitude,oibdpq;dpq,,verified,2,gpt-4o-mini,verdict
AMZN_20200430_176aa1e0,AMZN,2020-04-30,2020-06-30,capital_allocation,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20200430_86727593,AMZN,2020-04-30,2020-06-30,numerical_guidance,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20200430_66bcd329,AMZN,2020-04-30,2020-12-31,numerical_guidance,True,magnitude,xrdq,,verified,3,gpt-4o-mini,verdict
AMZN_20200730_0a1d976c,AMZN,2020-07-30,2020-09-30,numerical_guidance,True,magnitude,capx_q;ppentq,,verified,2,gpt-4o-mini,verdict
AMZN_20200730_26740d74,AMZN,2020-07-30,2020-12-31,capital_allocation,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20200730_c9a98cb3,AMZN,2020-07-30,2020-09-30,capital_allocation,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20200730_48b08b4a,AMZN,2020-07-30,2020-09-30,numerical_guidance,True,magnitude,saleq;revtq,,verified,2,gpt-4o-mini,verdict
AMZN_20201029_15b8be20,AMZN,2020-10-29,2020-12-31,numerical_guidance,True,magnitude,xsgaq,,verified,1,gpt-4o-mini,verdict
AMZN_20201029_22546409,AMZN,2020-10-29,2020-12-31,capital_allocation,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20210202_a6eca13d,AMZN,2021-02-02,2021-12-31,capital_allocation,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20210202_59ed6d06,AMZN,2021-02-02,2021-12-31,capital_allocation,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20210202_a9e44f39,AMZN,2021-02-02,2021-03-31,numerical_guidance,True,magnitude,xsgaq,,contradicted,1,gpt-4o-mini,verdict
AMZN_20210429_c5e0fdac,AMZN,2021-04-29,2021-06-30,numerical_guidance,True,magnitude,xsgaq,,partially_verified,1,gpt-4o-mini,verdict
AMZN_20210429_cd9117e3,AMZN,2021-04-29,2021-12-31,capital_allocation,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20210429_8d9af1cc,AMZN,2021-04-29,2022-12-31,capital_allocation,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20210729_f37cbd99,AMZN,2021-07-29,2021-09-30,numerical_guidance,True,magnitude,saleq;revtq,,verified,2,gpt-4o-mini,verdict
AMZN_20210729_1c5e35bd,AMZN,2021-07-29,2021-12-31,capital_allocation,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20210729_a7073d49,AMZN,2021-07-29,2021-12-31,capital_allocation,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20210729_6ac2b5fb,AMZN,2021-07-29,2021-12-31,capital_allocation,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20210729_a79a344d,AMZN,2021-07-29,2021-12-31,capital_allocation,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20211028_23f20a16,AMZN,2021-10-28,2021-12-31,numerical_guidance,True,magnitude,cogsq;xsgaq,,contradicted,2,gpt-4o-mini,verdict
AMZN_20211028_b3991b7f,AMZN,2021-10-28,2021-12-31,numerical_guidance,True,magnitude,oibdpq,,contradicted,1,gpt-4o-mini,verdict
AMZN_20211028_bb5246ea,AMZN,2021-10-28,2021-12-31,numerical_guidance,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20211028_4633a666,AMZN,2021-10-28,2021-12-31,capital_allocation,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20211028_32743919,AMZN,2021-10-28,2023-12-31,capital_allocation,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20220203_0c0c151c,AMZN,2022-02-03,2022-03-31,numerical_guidance,True,magnitude,dpq,,contradicted,1,gpt-4o-mini,verdict
AMZN_20220203_f93f6cb6,AMZN,2022-02-03,2022-12-31,capital_allocation,True,direction,capx_q,,contradicted,2,gpt-4o-mini,verdict
AMZN_20220203_b5be9fcf,AMZN,2022-02-03,2022-12-31,capital_allocation,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20220203_651ff3c6,AMZN,2022-02-03,2022-12-31,capital_allocation,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20220203_85837123,AMZN,2022-02-03,2022-12-31,capital_allocation,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20220428_696578bf,AMZN,2022-04-28,2022-12-31,capital_allocation,True,direction,capx_q,,contradicted,3,gpt-4o-mini,verdict
AMZN_20220428_f041cef2,AMZN,2022-04-28,2022-12-31,capital_allocation,True,direction,capx_q,,contradicted,4,gpt-4o-mini,verdict
AMZN_20220428_cdaf6487,AMZN,2022-04-28,2022-12-31,capital_allocation,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20220428_37c16275,AMZN,2022-04-28,2022-12-31,capital_allocation,True,direction,capx_q,,contradicted,6,gpt-4o-mini,verdict
AMZN_20220428_9deb6559,AMZN,2022-04-28,2022-06-30,numerical_guidance,True,magnitude,cogsq;xsgaq,,contradicted,2,gpt-4o-mini,verdict
AMZN_20220428_04c5ea20,AMZN,2022-04-28,2022-12-31,numerical_guidance,True,magnitude,xsgaq,,verified,2,gpt-4o-mini,verdict
AMZN_20220728_efb594da,AMZN,2022-07-28,2022-12-31,capital_allocation,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20220728_c0455787,AMZN,2022-07-28,2022-12-31,capital_allocation,True,magnitude,capx_q,,contradicted,2,gpt-4o-mini,verdict
AMZN_20220728_59c60123,AMZN,2022-07-28,2022-12-31,capital_allocation,True,magnitude,capx_q,,verified,2,gpt-4o-mini,verdict
AMZN_20220728_05d417a8,AMZN,2022-07-28,2022-12-31,capital_allocation,True,magnitude,capx_q,,contradicted,4,gpt-4o-mini,verdict
AMZN_20220728_05d9aeb5,AMZN,2022-07-28,2022-12-31,capital_allocation,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20220728_b1129cb3,AMZN,2022-07-28,2030-12-31,capital_allocation,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20220728_ba5fe6df,AMZN,2022-07-28,2022-09-30,numerical_guidance,True,magnitude,oibdpq,,contradicted,1,gpt-4o-mini,verdict
AMZN_20220728_a19dc7f6,AMZN,2022-07-28,2022-09-30,numerical_guidance,True,magnitude,cogsq,,verified,2,gpt-4o-mini,verdict
AMZN_20220728_b229b69a,AMZN,2022-07-28,2022-12-31,capital_allocation,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20221027_30e843f3,AMZN,2022-10-27,2022-12-31,capital_allocation,True,magnitude,capx_q,,contradicted,1,gpt-4o-mini,verdict
AMZN_20221027_6f2e6d1f,AMZN,2022-10-27,2022-12-31,numerical_guidance,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20221027_2d9ccf6f,AMZN,2022-10-27,2022-12-31,numerical_guidance,True,direction,saleq;revtq,,verified,1,gpt-4o-mini,verdict
AMZN_20221027_b95c672c,AMZN,2022-10-27,2023-12-31,capital_allocation,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20221027_b01c2d83,AMZN,2022-10-27,2022-12-31,capital_allocation,True,magnitude,capx_q,,partially_verified,1,gpt-4o-mini,verdict
AMZN_20230427_ade246f2,AMZN,2023-04-27,2023-12-31,capital_allocation,True,magnitude,capx_q,,verified,4,gpt-4o-mini,verdict
AMZN_20230803_ebb5d68e,AMZN,2023-08-03,2023-12-31,capital_allocation,True,magnitude,capx_q,,partially_verified,1,gpt-4o-mini,verdict
AMZN_20231026_d0078c34,AMZN,2023-10-26,2023-12-31,capital_allocation,True,magnitude,capx_q,,partially_verified,1,gpt-4o-mini,verdict
AMZN_20240201_0114a63e,AMZN,2024-02-01,2024-12-31,capital_allocation,True,magnitude,capx_q,,verified,2,gpt-4o-mini,verdict
AMZN_20240201_4ec8df14,AMZN,2024-02-01,2024-03-31,numerical_guidance,True,magnitude,oibdpq,,partially_verified,1,gpt-4o-mini,verdict
AMZN_20240201_930b3b38,AMZN,2024-02-01,2024-12-31,capital_allocation,True,direction,capx_q,,verified,4,gpt-4o-mini,verdict
AMZN_20240430_7648b5e3,AMZN,2024-04-30,2024-12-31,capital_allocation,True,magnitude,capx_q,,verified,3,gpt-4o-mini,verdict
AMZN_20240430_a4ca51b8,AMZN,2024-04-30,2024-12-31,capital_allocation,True,magnitude,capx_q,,verified,4,gpt-4o-mini,verdict
AMZN_20240430_03088b32,AMZN,2024-04-30,2024-06-30,numerical_guidance,True,magnitude,saleq;revtq,,verified,2,gpt-4o-mini,verdict
AMZN_20240430_0fc1cb05,AMZN,2024-04-30,2024-06-30,numerical_guidance,True,magnitude,oibdpq,,verified,1,gpt-4o-mini,verdict
AMZN_20240430_4a3e9934,AMZN,2024-04-30,2024-12-31,capital_allocation,True,magnitude,dltr_q,,contradicted,2,gpt-4o-mini,verdict
AMZN_20240801_ba28088e,AMZN,2024-08-01,2024-12-31,capital_allocation,True,direction,capx_q,,verified,3,gpt-4o-mini,verdict
AMZN_20240801_86fc2971,AMZN,2024-08-01,2024-12-31,capital_allocation,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20240801_d910b697,AMZN,2024-08-01,2024-09-30,capital_allocation,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20240801_4aeadd74,AMZN,2024-08-01,2024-12-31,capital_allocation,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20240801_3ad59a6a,AMZN,2024-08-01,2024-12-31,capital_allocation,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20241031_ed3213d5,AMZN,2024-10-31,2024-12-31,capital_allocation,True,magnitude,capx_q,,partially_verified,1,gpt-4o-mini,verdict
AMZN_20241031_7c30b0f2,AMZN,2024-10-31,2024-12-31,capital_allocation,True,magnitude,capx_q,,partially_verified,1,gpt-4o-mini,verdict
AMZN_20250206_35b2a66b,AMZN,2025-02-06,2025-12-31,capital_allocation,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20250206_cfe89970,AMZN,2025-02-06,2025-12-31,capital_allocation,True,magnitude,capx_q,,verified,2,gpt-4o-mini,verdict
AMZN_20250206_32f01f9b,AMZN,2025-02-06,2025-03-31,numerical_guidance,True,magnitude,saleq;revtq,,verified,1,gpt-4o-mini,verdict
AMZN_20250206_25369ce4,AMZN,2025-02-06,2025-03-31,numerical_guidance,True,magnitude,saleq;revtq,,verified,2,gpt-4o-mini,verdict
AMZN_20250206_2cd8a2dc,AMZN,2025-02-06,2025-03-31,numerical_guidance,True,magnitude,oibdpq,,partially_verified,1,gpt-4o-mini,verdict
AMZN_20250206_ab6bbb58,AMZN,2025-02-06,2025-12-31,numerical_guidance,True,magnitude,oibdpq,,verified,2,gpt-4o-mini,verdict
AMZN_20250206_e0966c8d,AMZN,2025-02-06,2025-12-31,numerical_guidance,True,magnitude,oibdpq,,contradicted,2,gpt-4o-mini,verdict
AMZN_20250206_e3f6786e,AMZN,2025-02-06,2025-12-31,numerical_guidance,True,magnitude,oibdpq;oiadpq,,contradicted,1,gpt-4o-mini,verdict
AMZN_20250206_929702e1,AMZN,2025-02-06,2025-12-31,capital_allocation,True,magnitude,capx_q,,contradicted,4,gpt-4o-mini,verdict
AMZN_20250206_8d9540ed,AMZN,2025-02-06,2025-12-31,capital_allocation,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20250501_8c03c09b,AMZN,2025-05-01,2025-12-31,capital_allocation,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20250501_530a0434,AMZN,2025-05-01,2026-03-31,capital_allocation,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20250501_0e9b176e,AMZN,2025-05-01,2025-12-31,capital_allocation,False,none,,screen_false,,0,gpt-4o-mini,verdict
AMZN_20250731_be188fcb,AMZN,2025-07-31,2025-12-31,capital_allocation,True,direction,capx_q,,verified,3,gpt-4o-mini,verdict
